PMN,3355,MISSIONÁRIO ALDIZIO BRITO,ALDIZIO ALVES BRITO,M,191,,Nulo técnico,Não eleito,PMN
PROS,9010,NEGUINHO DOS OLHOS CASTANHOS,VALMIR DOS SANTOS SILVA,M,114,,Nulo técnico,Não eleito,PROS
PROS,9060,REGINA TAVARES,REGINA CELLE DE BRITO TAVARES,F,89,,Nulo técnico,Não eleito,PROS
PROS,9088,MAURICIO,FRANCISCO MAURICIO DA COSTA,M,48,0,Válido,Não eleito,PROS
PROS,9013,KENNEDY ALMEIDA,CARLOS KENNEDY ALMEIDA LOPES,M,16,,Nulo técnico,Não eleito,PROS
PSB,4022,DUDA DO CRATO,EDUARDO ANDRÉ MAGALHÃES TELES,M,919,,Nulo técnico,Não eleito,PSB
PSC,2044,GENIVAL SOLAR,JOSE GENIVAL DE SOUSA SILVA,M,19,,Nulo técnico,Não eleito,PSC
PSD,5512,LUCIANO MELO,LUCIANO DE MELO SOUSA,M,356,,Nulo técnico,Não eleito,PSD
PSD,5557,DR GIOVANNI SAMPAIO,GIOVANNI SAMPAIO GONDIM,M,50,,Nulo técnico,Não eleito,PSD
PSDB,4511,TICA FREIRE,FRANCISCA MARIA FREIRE ALBANO,F,884,,Nulo técnico,Não eleito,(PSDB/CIDADANIA)
PSDB,4533,TERESINHA DO CURIÓ,TERESINHA DA SILVA FERREIRA,F,644,,Nulo técnico,Não eleito,(PSDB/CIDADANIA)
PSDB,4599,CHIQUINHO FEITOSA,FRANCISCO FEITOSA DE ALBUQUERQUE LIMA,M,390,,Nulo técnico,Não eleito,(PSDB/CIDADANIA)
PSDB,4545,WILTON ALMEIDA,FRANCISCO WILTON DE ALMEIDA,M,201,,Nulo técnico,Não eleito,(PSDB/CIDADANIA)
PSTU,1600,EDWEYNE RODOVIÁRIO,EDWEYNE MARTINS,M,652,,Nulo técnico,Não eleito,PSTU
PTB,1407,EVANDRO FURTADO,EVANDRO FURTADO DE LIMA,M,300,,Nulo técnico,Não eleito,PTB
PTB,1439,PROF DEAN DIAS,DEAN DIAS DE ALMEIDA,M,39,,Nulo técnico,Não eleito,PTB
PTB,1429,CABO REGINALDO,FRANCISCO REGINALDO MOREIRA GOMES,M,21,,Nulo técnico,Não eleito,PTB
UNIÃO,4489,PROFª REJANE SOUZA,REJANE LUZIA OLIVEIRA DE SOUZA,F,2855,"0,06",Válido,13° Suplente,UNIÃO
