simulavoto  | 10:36:12 PM [express] GET /api/imports/tse/queue/status 304 in 3ms :: {"isProcessing":false,"currentJob":null,"queueLength":0,"queue":[]}
simulavoto  | 10:36:14 PM [express] GET /api/imports/tse 304 in 4ms :: [{"id":28,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4409893,"status":"failed","stage":"failed","downloadedBytes":4409893,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":"column \"row_start\" of relation \"tse_import_batches\" does not exist","electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-26T22:35:39.848Z","completedAt":"2026-01-26T22:35:42.541Z","updatedAt":"2026-01-26T22:35:42.541Z","createdAt":"2026-01-26T22:35:39.842Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | 10:36:23 PM [express] GET /api/imports/tse/queue/status 304 in 2ms :: {"isProcessing":false,"currentJob":null,"queueLength":0,"queue":[]}
simulavoto  | 10:36:24 PM [express] GET /api/imports/tse 304 in 3ms :: [{"id":28,"filename":"[DETALHE] detalhe_votacao_munzona_2022.zip","fileSize":4409893,"status":"failed","stage":"failed","downloadedBytes":4409893,"totalRows":0,"processedRows":0,"skippedRows":0,"errorCount":0,"errorMessage":"column \"row_start\" of relation \"tse_import_batches\" does not exist","electionYear":2022,"electionType":null,"uf":null,"cargoFilter":null,"sourceUrl":"https://cdn.tse.jus.br/estatistica/sead/odsele/detalhe_votacao_munzona/detalhe_votacao_munzona_2022.zip","totalFileRows":39966,"validationStatus":"pending","validationMessage":null,"validatedAt":null,"startedAt":"2026-01-26T22:35:39.848Z","completedAt":"2026-01-26T22:35:42.541Z","updatedAt":"2026-01-26T22:35:42.541Z","createdAt":"2026-01-26T22:35:39.842Z","createdBy":"7ea108a0-4f20-4599-a083-8b2532963d15"}]
simulavoto  | WebSocket client disconnected. Total clients: 1
simulavoto  | 10:37:13 PM [express] GET /api/admin/database-stats 200 in 46ms :: {"users":1,"parties":0,"candidates":0,"scenarios":0,"simulations":0,"importJobs":1,"candidateVotes":0,"forecasts":0,"auditLogs":9}
simulavoto  | WebSocket client connected (user: 7ea108a0-4f20-4599-a083-8b2532963d15). Total clients: 2
simulavoto  | 10:37:46 PM [express] POST /api/admin/reset-database 200 in 26779ms :: {"success":true,"message":"Banco de dados zerado com sucesso","details":{"tablesCleared":26,"adminPreserved":true,"completedAt":"2026-01-26T22:37:46.131Z"}}
simulavoto  | 10:37:46 PM [express] GET /api/imports/tse 200 in 6ms :: []
simulavoto  | 10:37:46 PM [express] GET /api/notifications 304 in 7ms :: {"notifications":[],"unreadCount":0}        
simulavoto  | 10:37:46 PM [express] GET /api/admin/database-stats 200 in 76ms :: {"users":1,"parties":0,"candidates":0,"scenarios":0,"simulations":0,"importJobs":0,"candidateVotes":0,"forecasts":0,"auditLogs":2}
simulavoto  | 10:37:46 PM [express] GET /api/admin/database-stats 304 in 7ms :: {"users":1,"parties":0,"candidates":0,"scenarios":0,"simulations":0,"importJobs":0,"candidateVotes":0,"forecasts":0,"auditLogs":2}
simulavoto  | 10:39:16 PM [express] GET /api/imports/tse 304 in 13ms :: []
simulavoto  | 10:39:16 PM [express] GET /api/ibge/stats 304 in 8ms :: {"totalMunicipios":0,"totalPopulacaoRecords":0,"totalIndicadoresRecords":0,"lastUpdate":null,"populacaoByYear":[]}
simulavoto  | 10:39:16 PM [express] GET /api/ibge/import-jobs 304 in 2ms :: []
simulavoto  | 10:39:16 PM [express] GET /api/ibge/demographic-data 304 in 8ms :: {"municipios":[],"aggregatedData":{"totalPopulacao":0,"avgIdh":null,"avgRenda":null,"avgTaxaAlfabetizacao":null,"anoPopulacao":2026,"anoIndicadores":2026}}
simulavoto  | 10:39:17 PM [express] GET /api/notifications 304 in 6ms :: {"notifications":[],"unreadCount":0}
simulavoto  | 10:39:19 PM [express] GET /api/ibge/import-jobs 304 in 6ms :: []
simulavoto  | 10:39:23 PM [express] GET /api/ibge/import-jobs 304 in 4ms :: []
simulavoto  | 10:39:26 PM [express] GET /api/ibge/import-jobs 304 in 4ms :: []
simulavoto  | 10:39:26 PM [express] GET /api/ibge/stats 304 in 8ms :: {"totalMunicipios":0,"totalPopulacaoRecords":0,"totalIndicadoresRecords":0,"lastUpdate":null,"populacaoByYear":[]}
simulavoto  | 10:39:27 PM [express] GET /api/tse/stats 304 in 9ms :: {"totalRecords":0,"years":[],"ufs":[],"cargos":[]}
simulavoto  | 10:39:27 PM [express] GET /api/imports/tse/queue/status 304 in 2ms :: {"isProcessing":false,"currentJob":null,"queueLength":0,"queue":[]}
simulavoto  | WebSocket client connected (user: 7ea108a0-4f20-4599-a083-8b2532963d15). Total clients: 3
